fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,98227516,113736711,1,3251,3251
natives-values,1,91110124,109251680,1,3251,3251
natives-values,2,84103626,99088803,1,3251,3251
natives-values,3,120467553,172107674,1,3251,3251
natives-values,4,106529012,91413499,1,3251,3251
natives-values,5,72769086,99435138,1,3251,3251
natives-values,6,67598783,92196969,1,3251,3251
singleton-values,0,16219003,22177673,100,800,800
singleton-values,1,16419996,24486308,100,800,800
singleton-values,2,15152608,22914181,100,800,800
singleton-values,3,15860153,21287513,100,800,800
singleton-values,4,17527774,22978067,100,800,800
singleton-values,5,17405870,21886925,100,800,800
singleton-values,6,13684449,22209190,100,800,800
