fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,115838694,132250873,1,3251,3251
natives-values,1,95395810,116814025,1,3251,3251
natives-values,2,94776046,107909774,1,3251,3251
natives-values,3,110272460,115227357,1,3251,3251
natives-values,4,99570402,141500300,1,3251,3251
natives-values,5,83867328,141521913,1,3251,3251
natives-values,6,76804076,101032934,1,3251,3251
singleton-values,0,15919611,21707061,100,800,800
singleton-values,1,15702143,22001786,100,800,800
singleton-values,2,15141829,25151616,100,800,800
singleton-values,3,14624771,21170594,100,800,800
singleton-values,4,14900757,23886201,100,800,800
singleton-values,5,14262977,21485097,100,800,800
singleton-values,6,15589363,20804643,100,800,800
