fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,99725094,110751058,1,3251,3251
natives-values,1,142056385,156342387,1,3251,3251
natives-values,2,142904862,165966016,1,3251,3251
natives-values,3,99904504,143356397,1,3251,3251
natives-values,4,89508588,95940307,1,3251,3251
natives-values,5,82169251,101730603,1,3251,3251
natives-values,6,72394088,91260304,1,3251,3251
singleton-values,0,20105480,22386654,100,800,800
singleton-values,1,22864072,24037158,100,800,800
singleton-values,2,18408015,23666751,100,800,800
singleton-values,3,14418851,21475452,100,800,800
singleton-values,4,14223808,21075040,100,800,800
singleton-values,5,13383814,22129746,100,800,800
singleton-values,6,12777210,21694963,100,800,800
