fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,94135441,111314537,1,3251,3251
natives-values,1,112798100,110252598,1,3251,3251
natives-values,2,90211896,100370470,1,3251,3251
natives-values,3,98711068,98909140,1,3251,3251
natives-values,4,86216764,116814705,1,3251,3251
natives-values,5,107946288,113349449,1,3251,3251
natives-values,6,95387216,158506814,1,3251,3251
singleton-values,0,102685690,40574698,100,800,800
singleton-values,1,17861637,21684117,100,800,800
singleton-values,2,13511075,20439693,100,800,800
singleton-values,3,13141138,20503038,100,800,800
singleton-values,4,12665182,22188997,100,800,800
singleton-values,5,12326592,20011178,100,800,800
singleton-values,6,12431560,20136497,100,800,800
