size,operation,millis,rows,passes,rule_visits,branch_visits,terminal_rotations,candidate_rule_visits,domain_pairs,unification_attempts,new_tvalues,database_evaluations,function_evaluations,first_pass_durable_unifications,first_pass_query_unifications,first_pass_generated_unifications,later_pass_durable_unifications,later_pass_query_unifications,later_pass_generated_unifications
30,insert-sequential,121.044,0,30,60,60,60,0,0,0,0,60,60,0,0,0,0,0,0
30,query-exact,4.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,query-two-constants,14.964,1,2,10,10,10,8,8,8,1,10,10,2,2,0,2,2,0
30,query-one-constant,13.892,1,2,10,10,10,8,8,8,2,10,10,2,2,0,2,2,0
30,query-all-variables,72.628,30,2,184,184,271,240,240,240,61,271,271,60,60,0,60,60,0
100,insert-sequential,138.079,0,100,200,200,200,0,0,0,0,200,200,0,0,0,0,0,0
100,query-exact,2.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,query-two-constants,10.279,1,2,10,10,10,8,8,8,1,10,10,2,2,0,2,2,0
100,query-one-constant,4.712,1,2,10,10,10,8,8,8,2,10,10,2,2,0,2,2,0
100,query-all-variables,311.390,100,2,604,604,901,800,800,800,201,901,901,200,200,0,200,200,0
