fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,106938445,120739440,1,3251,3251
natives-values,1,99123916,116072802,1,3251,3251
natives-values,2,86595367,111313384,1,3251,3251
natives-values,3,82976146,105894372,1,3251,3251
natives-values,4,84571259,97451577,1,3251,3251
natives-values,5,75729253,94408584,1,3251,3251
natives-values,6,72871950,98798265,1,3251,3251
singleton-values,0,16330925,24282921,100,800,800
singleton-values,1,17252573,108650013,100,800,800
singleton-values,2,25605899,23577579,100,800,800
singleton-values,3,18401193,23062353,100,800,800
singleton-values,4,15096797,23475204,100,800,800
singleton-values,5,17842342,25393834,100,800,800
singleton-values,6,14407894,22019482,100,800,800
