fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,98630897,119912886,1,3251,3251
natives-values,1,85671969,114692719,1,3251,3251
natives-values,2,86052882,107395006,1,3251,3251
natives-values,3,79602219,111951030,1,3251,3251
natives-values,4,79798094,95620339,1,3251,3251
natives-values,5,74690371,141074222,1,3251,3251
natives-values,6,69606304,87836501,1,3251,3251
singleton-values,0,26740223,34558639,100,800,800
singleton-values,1,23102605,27557364,100,800,800
singleton-values,2,14662313,21521874,100,800,800
singleton-values,3,14236862,20869332,100,800,800
singleton-values,4,15136037,21614754,100,800,800
singleton-values,5,13693183,21207941,100,800,800
singleton-values,6,14143271,20999267,100,800,800
