fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns
natives-values,0,149392393,151198783,1,3251,3251,7476908,45787593,387176,25230735,2174412,6417742,104830970
natives-values,1,104226523,133213723,1,3251,3251,6534945,37674057,289657,22631408,2095893,5456881,90893082
natives-values,2,91024159,115001686,1,3251,3251,5837389,27703791,320661,21935231,1797388,4966146,76414185
natives-values,3,215882894,107171465,1,3251,3251,5124995,30873368,299455,20495305,1754201,4331459,76128438
natives-values,4,74103592,111135458,1,3251,3251,4476242,23596435,300226,20181813,1574532,3810514,68569988
natives-values,5,91539515,131474875,1,3251,3251,5802470,31754466,334126,26033376,2087164,4978583,88120848
natives-values,6,72130754,109477034,1,3251,3251,5044069,30523266,341028,23365049,1662333,4317538,80522518
singleton-values,0,17604452,22455450,100,800,800,4258374,3911844,28627,3108833,3451786,3985853,17196399
singleton-values,1,16209573,21907105,100,800,800,4123826,3713498,29689,3036052,3411158,3854832,16553771
singleton-values,2,16039828,30654954,100,800,800,6580142,4952273,35563,3835415,4276621,6106691,22875912
singleton-values,3,22959628,33890821,100,800,800,6845197,8141442,36252,4336046,3838985,6440059,26392962
singleton-values,4,16355844,22407046,100,800,800,4819542,3769755,28898,3148048,3105961,4478793,17144150
singleton-values,5,22422240,35101252,100,800,800,7330071,6115469,39238,5055771,5169012,6856510,27245144
singleton-values,6,21778071,22898144,100,800,800,4598034,3994252,30260,3177751,3126401,4332679,17459043
