fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns
natives-values,0,98791201,151200753,1,3251,3251,8088625,52728431,366919,25489325,2020282,6788284,113410570
natives-values,1,99307728,120648728,1,3251,3251,7171220,33486829,305210,21719698,1934144,6295604,85195913
natives-values,2,90547559,124813808,1,3251,3251,6785155,33949986,337128,25313921,2113796,5826486,90396042
natives-values,3,232874925,115569280,1,3251,3251,5428383,33184893,313893,22183874,1919154,4572077,82059631
natives-values,4,93848028,148630464,1,3251,3251,6483349,32991309,369781,27659612,2318410,5584801,93313133
natives-values,5,111976311,115446926,1,3251,3251,4833905,26466907,275670,20420630,1806591,4131541,71843521
natives-values,6,72893090,100971308,1,3251,3251,6603288,24210373,304762,20508395,1396716,5842513,70414875
singleton-values,0,23221750,23150881,100,800,800,4151482,4148137,28670,3393973,3458818,3833499,17340043
singleton-values,1,15268366,22156580,100,800,800,4204635,3756568,28360,3013467,3057685,3732466,16182902
singleton-values,2,16826271,23618446,100,800,800,4351842,4226938,28932,3287066,3261997,3973454,17534277
singleton-values,3,15069026,22583167,100,800,800,4092278,3855007,27388,4461543,2893783,3795440,17546305
singleton-values,4,15360755,21741601,100,800,800,4134041,3810969,29289,3071248,3012828,3897333,16277845
singleton-values,5,13420984,21885277,100,800,800,4391584,4119404,29379,3049603,2915768,4202441,16738299
singleton-values,6,16781263,22528806,100,800,800,4133911,3883263,28765,3223687,2822900,3971790,16390665
