fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns
natives-values,0,99079740,135669952,1,3251,3251,7853165,43602666,337324,23314642,2006679,6614073,99883029
natives-values,1,99192069,116253878,1,3251,3251,5911283,33435767,304281,20658643,1999424,5011310,82879218
natives-values,2,92583008,118366189,1,3251,3251,6208852,33356720,305865,22135846,1925710,5447706,83862267
natives-values,3,185891929,105479987,1,3251,3251,4914558,29574650,294276,19818795,1717388,4159813,73952927
natives-values,4,86492958,102204896,1,3251,3251,5117590,24904983,290407,20314541,1748944,4383787,71241054
natives-values,5,74234933,112667278,1,3251,3251,5148228,27084567,289929,28424728,2078185,4335912,83129114
natives-values,6,94781899,99038648,1,3251,3251,4339588,23348260,286922,19904456,1251191,3677081,66639236
singleton-values,0,17577085,21945282,100,800,800,4310635,3748547,30710,3107723,3223371,4045030,16572752
singleton-values,1,16149475,22454229,100,800,800,4232059,3874260,36559,3333120,3264717,3935915,16936330
singleton-values,2,19475103,22415680,100,800,800,4133639,4008661,30518,3382171,3404784,3845844,17281671
singleton-values,3,14431739,21764450,100,800,800,4129903,3873539,31680,3073764,3190188,3870305,16426963
singleton-values,4,14191307,22025152,100,800,800,4972125,3702282,30578,2882301,2988461,4679548,16738372
singleton-values,5,14175473,21645411,100,800,800,4049743,4074677,31187,3284201,2812159,3784575,16475126
singleton-values,6,14325839,25720627,100,800,800,4175384,7259563,30045,2908536,2854272,3934934,19440320
