fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,99394678,132256064,1,3251,3251
natives-values,1,89679693,113340738,1,3251,3251
natives-values,2,90222580,116583046,1,3251,3251
natives-values,3,121968739,106981732,1,3251,3251
natives-values,4,80083357,97021888,1,3251,3251
natives-values,5,80861858,111069581,1,3251,3251
natives-values,6,76131651,95690757,1,3251,3251
singleton-values,0,20542965,27911489,100,800,800
singleton-values,1,22668632,26168197,100,800,800
singleton-values,2,18507242,28911604,100,800,800
singleton-values,3,14696900,21355997,100,800,800
singleton-values,4,14422567,20763356,100,800,800
singleton-values,5,12767668,21366603,100,800,800
singleton-values,6,13133488,22693029,100,800,800
