fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,114823900,160480304,1,3251,3251
natives-values,1,122737721,134596529,1,3251,3251
natives-values,2,103485783,119909010,1,3251,3251
natives-values,3,114348365,103129366,1,3251,3251
natives-values,4,77187560,105467784,1,3251,3251
natives-values,5,99198844,114427774,1,3251,3251
natives-values,6,89333062,123046300,1,3251,3251
singleton-values,0,21469428,22341080,100,800,800
singleton-values,1,16641085,22363974,100,800,800
singleton-values,2,18014957,20748254,100,800,800
singleton-values,3,13922806,20864337,100,800,800
singleton-values,4,14064077,22300334,100,800,800
singleton-values,5,14333954,20657827,100,800,800
singleton-values,6,13331906,19466095,100,800,800
