fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,lookup_calls,layers,empty_signatures,resolution_ns,filter_ns,batch_ns,materialize_ns,selected_ids,batch_hits,batch_misses,ensure_ns,returned_ids
natives-values,0,112247613,146233382,1,3251,3251,9537028,48283750,358879,23815485,2008076,8055314,108861199,1271,2542,1177,485769,3263498,1621472,2184554,6715,1232,44,93493,2895
natives-values,1,95841122,112268405,1,3251,3251,6413085,30149837,303563,20221394,1659819,5540154,78557692,1271,2542,1177,387645,2109765,956089,1678654,6715,1232,44,84735,2895
natives-values,2,94548308,133697322,1,3251,3251,7121904,49763695,303946,21560500,1560245,6087770,100882467,1271,2542,1177,341700,2532729,1057474,1768749,6715,1232,44,80271,2895
natives-values,3,100918100,110319123,1,3251,3251,6065141,24469061,426457,25544586,1676154,5254208,77706992,1271,2542,1177,293617,1984941,958187,1607261,6715,1232,44,83209,2895
natives-values,4,87820033,100041848,1,3251,3251,5841573,23784676,280635,20241496,1674653,5130953,70353747,1271,2542,1177,180993,1865677,1034068,1654115,6715,1232,44,81798,2895
natives-values,5,77331494,119485382,1,3251,3251,6495022,29009670,358588,28238488,2146949,5713336,87952254,1271,2542,1177,143921,1904017,1065784,2190481,6715,1232,44,86226,2895
natives-values,6,79843365,104533840,1,3251,3251,5281959,23571317,314233,20160611,1340432,4602954,68883827,1271,2542,1177,97246,1701446,849047,1592934,6715,1232,44,75722,2895
singleton-values,0,15052904,22107482,100,800,800,4488293,3724891,29674,2986721,3140650,4200623,16454184,901,1802,901,70633,2905511,778259,183905,40800,597,3,54077,800
singleton-values,1,16529036,22266872,100,800,800,4607101,3650274,29580,3058196,3134203,4335085,16619282,901,1802,901,74950,2960561,787115,228530,40800,597,3,53557,800
singleton-values,2,16897711,22065308,100,800,800,4435208,3829852,32147,3081362,3171018,4160537,16655317,901,1802,901,71016,2877781,780801,166127,40800,597,3,54705,800
singleton-values,3,14918132,22434114,100,800,800,4561118,3916484,29734,3081042,3322926,4233324,16994247,901,1802,901,71232,2907803,776730,208222,40800,597,3,56449,800
singleton-values,4,15250472,22211188,100,800,800,4653395,3774825,29487,2894626,3125167,4318375,16792433,901,1802,901,72819,2972177,735933,273053,40800,597,3,54747,800
singleton-values,5,14020591,21339536,100,800,800,4470306,3628972,29755,3080936,2815991,4207542,16131468,901,1802,901,89384,2913978,741901,201424,40800,597,3,53994,800
singleton-values,6,13229090,22529357,100,800,800,4332429,5504996,49842,3151635,2854081,4093982,17919399,901,1802,901,69198,2874424,726457,161431,40800,597,3,53875,800
