fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,lookup_calls,layers,empty_signatures,resolution_ns,filter_ns,batch_ns,materialize_ns,selected_ids,batch_hits,batch_misses,ensure_ns,returned_ids
natives-values,0,113643785,119512427,1,3251,3251,6644546,32941725,353168,21467602,1795208,5491344,83331815,1271,2542,1177,355886,1595294,1329985,1782102,6715,1232,44,87093,2895
natives-values,1,118616084,120333753,1,3251,3251,6251493,29718133,298728,21891845,2019683,5339810,81133396,1271,2542,1177,343177,1589613,1360628,1664819,6715,1232,44,80021,2895
natives-values,2,100540043,209889996,1,3251,3251,9256431,91086539,488246,36214535,2917435,7970021,175645237,1271,2542,1177,465767,2738687,1430999,2851758,6715,1232,44,82042,2895
natives-values,3,87469713,115740505,1,3251,3251,5398681,28649514,281864,23221302,1969308,4597782,79021392,1271,2542,1177,174549,1174932,1143711,1701383,6715,1232,44,76508,2895
natives-values,4,90882528,107651417,1,3251,3251,4866413,29550521,278120,21891633,1893704,4077592,76814076,1271,2542,1177,94117,1039262,1045229,1530633,6715,1232,44,78286,2895
natives-values,5,79264274,107348981,1,3251,3251,4988232,26676872,273731,20938207,1939522,4257629,75570024,1271,2542,1177,95872,1028756,1103657,1665863,6715,1232,44,74306,2895
natives-values,6,79284874,184567816,1,3251,3251,6838452,77042197,578003,32355242,1589771,5823321,150562538,1271,2542,1177,195671,1543330,1053738,2651830,6715,1232,44,76408,2895
singleton-values,0,26285610,33605116,100,800,800,5762953,5610263,36207,5199714,5493290,5301964,25476322,901,1802,901,106669,3302490,1309135,286033,40800,597,3,61867,800
singleton-values,1,23582381,36257603,100,800,800,5469109,5661583,36724,4783523,5948009,4882855,31018087,901,1802,901,100156,2939861,1265841,281722,40800,597,3,62206,800
singleton-values,2,16809668,24006600,100,800,800,4175539,4301961,28605,3307523,3805233,3848783,17983185,901,1802,901,71579,2277638,997225,217381,40800,597,3,54472,800
singleton-values,3,15121808,26293903,100,800,800,4665260,4620336,29664,3407311,4347542,4383873,19561881,901,1802,901,75867,2352722,1221648,463844,40800,597,3,57904,800
singleton-values,4,19112995,35021808,100,800,800,6321412,6020946,39041,5236944,5537834,5779278,26911522,901,1802,901,110538,3527844,1417098,415298,40800,597,3,63920,800
singleton-values,5,22504199,33517153,100,800,800,6156309,6015977,39039,5108812,4994255,5672790,25831647,901,1802,901,110130,3488572,1376178,346862,40800,597,3,62895,800
singleton-values,6,20241513,25614215,100,800,800,4052631,5105565,31983,3765562,3014213,3745811,19967247,901,1802,901,81387,2249638,865815,250199,40800,597,3,76609,800
