fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
STACK_TOTAL natives-values 0 12
STACK_INCLUSIVE natives-values 0 org.kanger.Linker$3.run 6
STACK_INCLUSIVE natives-values 0 org.kanger.Linker$4.run 7
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.access$2 1
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.access$3 5
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.access$4 2
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.access$5 7
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.buildDomainIndex 1
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.checkSystem 1
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.getSolveCandidates 1
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.isValidFor 2
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.link 11
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.linkDatabase 5
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.linkDomains 1
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.rotateVariables 10
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.rotator 11
STACK_INCLUSIVE natives-values 0 org.kanger.Linker.synchronizeSolveIndex 1
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.init 1
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.link 11
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.query 12
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.queryCheckFalse 4
STACK_INCLUSIVE natives-values 0 org.kanger.Mind.queryCheckTrue 8
STACK_INCLUSIVE natives-values 0 org.kanger.TValueBaselineBenchmarkRunner.bench 12
STACK_INCLUSIVE natives-values 0 org.kanger.TValueBaselineBenchmarkRunner.main 12
STACK_INCLUSIVE natives-values 0 org.kanger.TValueBaselineBenchmarkRunner.run 12
STACK_INCLUSIVE natives-values 0 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE natives-values 0 org.kanger.calculator.Calculator.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.calculator.Functions$1$46.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.calculator.Functions$1.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.calculator.Functions.<init> 1
STACK_INCLUSIVE natives-values 0 org.kanger.factory.TValueFactory.collectIds 2
STACK_INCLUSIVE natives-values 0 org.kanger.factory.TValueFactory.forEach 9
STACK_INCLUSIVE natives-values 0 org.kanger.primitives.Argument.isEmpty 2
STACK_INCLUSIVE natives-values 0 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_INCLUSIVE natives-values 0 org.kanger.primitives.TVariableSet.hashCode 1
STACK_INCLUSIVE natives-values 0 org.kanger.units.Domain.isComplete 2
