facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,14671464,12008276,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,9696877,10921629,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,8850803,10167365,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,8466344,9762014,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,8994479,10363520,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,13384317,19093740,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,17760684,21004037,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,13200961,20228589,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,16653312,18936464,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,12412103,19329756,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
