facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,14781682,16736244,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,14424043,11259650,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,13473212,15096265,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,13642496,12850754,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,12572857,15035804,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,14314618,19520545,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,17634726,22623716,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,21590411,18493119,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,14401569,20972301,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,13669487,31202251,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
