fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,lookup_calls,layers,empty_signatures,resolution_ns,filter_ns,batch_ns,materialize_ns,selected_ids,batch_hits,batch_misses,ensure_ns,returned_ids
natives-values,0,101452986,143656098,1,3251,3251,8781694,43406352,455941,24603195,1815837,7425388,106079138,1271,2542,1177,396577,3052219,1370892,2091563,6715,1232,44,93700,2895
natives-values,1,95369919,121010091,1,3251,3251,7867575,32927995,329558,21650734,1995063,6546341,85489817,1271,2542,1177,440623,2548163,1302654,1769870,6715,1232,44,92051,2895
natives-values,2,100640542,126386133,1,3251,3251,6896308,35762710,307535,22375562,2078917,6000588,89297529,1271,2542,1177,369509,2291094,1097478,1813039,6715,1232,44,82757,2895
natives-values,3,106282285,114226501,1,3251,3251,6298157,28597312,310443,23111143,1755719,5530355,79521564,1271,2542,1177,267437,2141394,1121037,1600956,6715,1232,44,82849,2895
natives-values,4,92893947,107488359,1,3251,3251,5696492,25778837,285713,21808545,1615820,4977760,74986759,1271,2542,1177,103098,1646722,994441,1798205,6715,1232,44,78326,2895
natives-values,5,87943571,141941562,1,3251,3251,8692556,33565751,370602,30115921,2466024,7806914,100455754,1271,2542,1177,160526,2062962,1147126,4022564,6715,1232,44,92596,2895
natives-values,6,74676842,103874810,1,3251,3251,5175126,24559485,337235,21701161,1538860,4482400,72252583,1271,2542,1177,107652,1534963,910739,1559750,6715,1232,44,78202,2895
singleton-values,0,17107589,25840072,100,800,800,4474868,3934682,30584,3072436,3509391,4192186,17225339,901,1802,901,74596,2871016,769493,217726,40800,597,3,52941,800
singleton-values,1,26668966,39319300,100,800,800,7470802,6516696,40528,5552797,5943266,6976093,29265475,901,1802,901,125201,4861069,1345369,319907,40800,597,3,67491,800
singleton-values,2,16005674,23385814,100,800,800,4502457,3915019,28630,3231909,3366092,4186962,17325561,901,1802,901,74027,2829102,821299,203064,40800,597,3,52911,800
singleton-values,3,14940671,22505279,100,800,800,4500580,3880472,28589,3114757,3072173,4172861,16755343,901,1802,901,71434,2825793,817065,198534,40800,597,3,53545,800
singleton-values,4,20508658,24439019,100,800,800,5286669,4522108,28975,3552451,3039513,4925824,18855344,901,1802,901,78533,3400646,946964,216060,40800,597,3,53484,800
singleton-values,5,14112995,24695957,100,800,800,5064876,3893998,29235,3426527,4172714,4705595,19018310,901,1802,901,77581,3181990,974965,205753,40800,597,3,52663,800
singleton-values,6,15000862,23568529,100,800,800,5689820,3976811,77338,3147463,3217543,5415691,18342132,901,1802,901,90155,3359355,1508786,192775,40800,597,3,54043,800
