fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,pass_prepare_ns,rotator_setup_ns,rule_setup_ns,rotation_ns,callback_ns,validity_ns,solve_sync_ns
natives-values,0,145513349,134197443,1,3251,3251,7742111,40458125,328982,23727933,1970933,6491425,97911935,1796982,25448,558219,93244633,73201547,16215619,12892570
natives-values,1,91964774,111983464,1,3251,3251,5977579,30041025,289083,20514505,1817522,5065738,78396944,1941903,23787,510934,73788459,57682713,13787203,10816971
natives-values,2,90613460,123730764,1,3251,3251,6757836,34261269,473372,22650114,1682768,5867955,90397093,1774902,29466,583493,85944959,64930677,16124127,12898566
natives-values,3,91572003,99693436,1,3251,3251,5057519,25177010,285063,19446158,1460917,4342421,69369596,1377684,19928,422252,65772085,50749074,12897101,10364295
natives-values,4,77533745,96168260,1,3251,3251,4563126,22612491,280205,19573388,1415486,3889856,67215384,1210583,42122,486664,63648744,47832137,13674323,11142289
natives-values,5,72267247,96091485,1,3251,3251,4380230,23700499,279505,19404831,1406375,3681815,66973260,1245474,10806,394070,63610007,48546042,12971913,10502499
natives-values,6,73137969,101433715,1,3251,3251,4623830,23776044,295003,21837548,1416789,3916151,70673108,1178794,11681,474001,67237655,51335253,13700013,11081398
singleton-values,0,15521110,23215481,100,800,800,4350718,3973420,34915,3118492,3411482,3895498,17170743,385450,3396,143966,13100604,11585732,94285,72780
singleton-values,1,15804577,22624622,100,800,800,4104189,3933204,50467,3221082,3445240,3816240,17051194,353853,3405,140602,12992124,11417677,78444,56611
singleton-values,2,16025258,21077083,100,800,800,4023372,3581225,28550,3097766,3275146,3715218,16215246,345731,2575,117357,12366883,10838896,74627,53738
singleton-values,3,14390359,21358747,100,800,800,4060987,3700012,35282,3054193,3138448,3769803,16127434,303887,3204,150713,12411397,10958124,73354,52872
singleton-values,4,14098479,26846897,100,800,800,5633960,6972368,31282,3508016,2927997,5160712,21588102,339651,3236,158741,18023843,16253441,80719,58293
singleton-values,5,14008144,20874637,100,800,800,4008023,3607499,49156,3059660,2843423,3723136,15830986,395336,2725,126240,12345093,10832842,73769,54127
singleton-values,6,40651930,24008163,100,800,800,4385511,4349151,30207,3254592,3016487,4109223,19071764,416977,3474,158625,15353974,12127489,77721,56812
