fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,pass_prepare_ns,rotator_setup_ns,rule_setup_ns,rotation_ns,callback_ns
natives-values,0,102839282,142299371,1,3251,3251,9163692,45674810,351561,24605984,2727946,7889367,106580472,1852729,40382,681585,100902736,80650965
natives-values,1,99874649,123801421,1,3251,3251,6277456,34694874,299897,22192768,2501917,5298902,87151970,1647759,31628,733699,81911179,65184559
natives-values,2,119660618,190904787,1,3251,3251,9640571,51165486,485376,40677498,2667543,8378913,138325340,2417248,44627,970913,131737833,102821364
natives-values,3,144820926,131811992,1,3251,3251,5890505,32954408,305857,23098535,2064604,5078111,84469308,1554970,35914,465316,79988218,63090255
natives-values,4,130037352,147519608,1,3251,3251,7390400,38519437,444653,34262281,2393156,6392665,113169039,1929273,120330,890877,107182580,81455688
natives-values,5,84247860,111931515,1,3251,3251,4752715,29100146,321758,20857963,1776606,4062727,75109756,1363993,14220,467987,71162063,55837408
natives-values,6,109559737,301991010,1,3251,3251,12433909,124534951,1024507,45369199,2419798,10432831,235197401,2417468,21851,1082525,228803300,184197934
singleton-values,0,19145756,23596395,100,800,800,4229489,4086711,67029,3010579,3206257,3965889,17118765,321434,3213,162410,13303807,11502286
singleton-values,1,16172740,23191486,100,800,800,4301410,4165584,30633,3417134,3174641,3959707,17399077,370998,3966,155028,13559976,12022648
singleton-values,2,18117338,25512949,100,800,800,5112382,3986306,78618,3921759,3255771,4829982,18890942,402876,4076,239423,14830020,13206958
singleton-values,3,15097041,27965811,100,800,800,4412651,4127805,30347,3360992,3049854,4148451,17532207,333912,4927,183508,13830720,12039559
singleton-values,4,17595333,24265681,100,800,800,4992417,4067559,29566,3113105,3361559,4633036,18247705,526291,4025,174208,14043968,12311139
singleton-values,5,15197823,23760372,100,800,800,4564178,3990784,29556,3453291,3322068,4208873,17865629,509176,4295,160338,13736434,12148388
singleton-values,6,15538026,23878890,100,800,800,4200501,3869705,29481,3306165,4195644,4022121,18046051,426141,3826,132756,13156796,11513325
