groups,tuples_per_group,mode,sample,sync_ns,calls,scans,skips,group_visits,new_slots,checked_tuples
128,16,false,0,23020453,1000,1000,0,0,0,2176
128,16,true,0,2470619,1000,2,998,0,0,2176
128,16,true,1,2508476,1000,2,998,0,0,2176
128,16,false,1,11134821,1000,1000,0,0,0,2176
128,16,false,2,10269438,1000,1000,0,0,0,2176
128,16,true,2,2051870,1000,2,998,0,0,2176
128,16,true,3,1245595,1000,2,998,0,0,2176
128,16,false,3,12179263,1000,1000,0,0,0,2176
128,16,false,4,9921084,1000,1000,0,0,0,2176
128,16,true,4,1289711,1000,2,998,0,0,2176
128,16,true,5,1471065,1000,2,998,0,0,2176
128,16,false,5,9833742,1000,1000,0,0,0,2176
128,16,false,6,9591908,1000,1000,0,0,0,2176
128,16,true,6,815007,1000,2,998,0,0,2176
128,1,false,0,8430911,1000,1000,0,0,0,256
128,1,true,0,149516,1000,2,998,0,0,256
128,1,true,1,170717,1000,2,998,0,0,256
128,1,false,1,8048194,1000,1000,0,0,0,256
128,1,false,2,7929547,1000,1000,0,0,0,256
128,1,true,2,123926,1000,2,998,0,0,256
128,1,true,3,115774,1000,2,998,0,0,256
128,1,false,3,8118101,1000,1000,0,0,0,256
128,1,false,4,8238351,1000,1000,0,0,0,256
128,1,true,4,114443,1000,2,998,0,0,256
128,1,true,5,114683,1000,2,998,0,0,256
128,1,false,5,8021875,1000,1000,0,0,0,256
128,1,false,6,11018426,1000,1000,0,0,0,256
128,1,true,6,152229,1000,2,998,0,0,256
32,16,false,0,1977506,1000,1000,0,0,0,544
32,16,true,0,126390,1000,2,998,0,0,544
32,16,true,1,127462,1000,2,998,0,0,544
32,16,false,1,2044989,1000,1000,0,0,0,544
32,16,false,2,1989834,1000,1000,0,0,0,544
32,16,true,2,173621,1000,2,998,0,0,544
32,16,true,3,129145,1000,2,998,0,0,544
32,16,false,3,4269026,1000,1000,0,0,0,544
32,16,false,4,2160873,1000,1000,0,0,0,544
32,16,true,4,129685,1000,2,998,0,0,544
32,16,true,5,148865,1000,2,998,0,0,544
32,16,false,5,2351699,1000,1000,0,0,0,544
32,16,false,6,1998749,1000,1000,0,0,0,544
32,16,true,6,123405,1000,2,998,0,0,544
32,1,false,0,1940531,1000,1000,0,0,0,64
32,1,true,0,36465,1000,2,998,0,0,64
32,1,true,1,36856,1000,2,998,0,0,64
32,1,false,1,1886360,1000,1000,0,0,0,64
32,1,false,2,2186462,1000,1000,0,0,0,64
32,1,true,2,35404,1000,2,998,0,0,64
32,1,true,3,34742,1000,2,998,0,0,64
32,1,false,3,1917296,1000,1000,0,0,0,64
32,1,false,4,1836945,1000,1000,0,0,0,64
32,1,true,4,89043,1000,2,998,0,0,64
32,1,true,5,35333,1000,2,998,0,0,64
32,1,false,5,1785929,1000,1000,0,0,0,64
32,1,false,6,1855855,1000,1000,0,0,0,64
32,1,true,6,36024,1000,2,998,0,0,64
4,16,false,0,1460018,1000,1000,0,0,0,68
4,16,true,0,41271,1000,2,998,0,0,68
4,16,true,1,59099,1000,2,998,0,0,68
4,16,false,1,1473949,1000,1000,0,0,0,68
4,16,false,2,1430454,1000,1000,0,0,0,68
4,16,true,2,41683,1000,2,998,0,0,68
4,16,true,3,40630,1000,2,998,0,0,68
4,16,false,3,1342490,1000,1000,0,0,0,68
4,16,false,4,1409091,1000,1000,0,0,0,68
4,16,true,4,52238,1000,2,998,0,0,68
4,16,true,5,39790,1000,2,998,0,0,68
4,16,false,5,1347328,1000,1000,0,0,0,68
4,16,false,6,1401651,1000,1000,0,0,0,68
4,16,true,6,38598,1000,2,998,0,0,68
4,1,false,0,1346567,1000,1000,0,0,0,8
4,1,true,0,20942,1000,2,998,0,0,8
4,1,true,1,23666,1000,2,998,0,0,8
4,1,false,1,1336352,1000,1000,0,0,0,8
4,1,false,2,1327218,1000,1000,0,0,0,8
4,1,true,2,19629,1000,2,998,0,0,8
4,1,true,3,20712,1000,2,998,0,0,8
4,1,false,3,1328980,1000,1000,0,0,0,8
4,1,false,4,1538075,1000,1000,0,0,0,8
4,1,true,4,22604,1000,2,998,0,0,8
4,1,true,5,20601,1000,2,998,0,0,8
4,1,false,5,1368029,1000,1000,0,0,0,8
4,1,false,6,1330403,1000,1000,0,0,0,8
4,1,true,6,21682,1000,2,998,0,0,8
