groups,tuples_per_group,mode,sample,sync_ns,calls,scans,skips,group_visits,new_slots,checked_tuples
4,1,false,0,8225613,1000,1000,0,4000,8,8
4,1,true,0,3944443,1000,2,998,8,8,8
4,16,false,0,1814043,1000,1000,0,4000,68,68
4,16,true,0,2478884,1000,2,998,8,68,68
32,1,false,0,10782866,1000,1000,0,32000,64,64
32,1,true,0,21591749,1000,2,998,64,64,64
32,16,false,0,14484382,1000,1000,0,32000,544,544
32,16,true,0,22192765,1000,2,998,64,544,544
128,1,false,0,33802364,1000,1000,0,128000,256,256
128,1,true,0,20595668,1000,2,998,256,256,256
128,16,false,0,9410438,1000,1000,0,128000,2176,2176
128,16,true,0,20087483,1000,2,998,256,2176,2176
