fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
symmetric-edges-10,0,22691254,33225509,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,1,22517308,34125222,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,2,18934555,30069426,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,3,20323274,21962013,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,4,13274794,21796453,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,5,12967030,20000138,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,6,12840511,19246593,21,2880,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
BENCH_COMPLETE symmetric-edges-10
symmetric-edges-30,0,59461775,109903830,61,20640,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,1,34070400,87947957,61,20640,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,2,35613784,73794691,61,20640,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,3,32615900,70941436,61,20640,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,4,34614148,83610944,61,20640,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
