fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
symmetric-edges-10,0,24210052,47682294,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,1,35890285,49135641,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,2,22710445,30284426,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,3,17870860,28918810,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,4,16995142,24524636,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,5,13763097,22580470,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,6,18421659,19879984,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-30,0,43217969,90208211,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,1,40620054,103895715,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,2,35077150,86950933,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,3,35129849,73803713,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,4,33348247,72251187,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
