fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
natives-values,0,98229385,103340748,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,1,90646311,107593390,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,2,78448831,93958872,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,3,78623334,89849812,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,4,87483291,119422289,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,5,92366816,93243125,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,6,101389762,96357257,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
singleton-values,0,15646552,23858661,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,1,17945692,24535932,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,2,16127876,23270326,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,3,17197946,26882363,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,4,18387627,21910860,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,5,15354222,21987264,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,6,14793037,23065378,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
