fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
symmetric-edges-10,0,30439914,43855362,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,1,23381970,44670288,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,2,26497554,39441548,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,3,16485695,31730230,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,4,13052056,18790784,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,5,12049237,19868761,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,6,12242027,20321198,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-30,0,37891274,78196683,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,1,35211801,98462873,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,2,39539105,76237183,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,3,34360069,75682619,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,4,47428855,75371460,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,5,32633250,95050081,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,6,36601624,71221463,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
