fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
symmetric-edges-10,0,23998172,33032419,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,1,22106684,34360057,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,2,20065231,34895244,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,3,18465373,29581565,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,4,21037305,24969994,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,5,18879327,22867860,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-10,6,17588143,21054360,21,2519,2519,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-30,0,36313527,86475961,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,1,40066607,86652476,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,2,48373881,136333834,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,3,35373092,79020750,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,4,35814327,70337980,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,5,34194458,77803177,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
symmetric-edges-30,6,33811542,78008676,61,19559,19559,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
