fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,119740024,129077514,1,3251,3251
natives-values,1,104912170,136968823,1,3251,3251
natives-values,2,99606443,244388562,1,3251,3251
natives-values,3,87365337,102112445,1,3251,3251
natives-values,4,78211608,104524005,1,3251,3251
natives-values,5,109367637,121920481,1,3251,3251
natives-values,6,74179589,99099711,1,3251,3251
singleton-values,0,16347567,23864352,100,800,800
singleton-values,1,17562016,22254889,100,800,800
singleton-values,2,15357287,22782733,100,800,800
singleton-values,3,16608871,24855534,100,800,800
singleton-values,4,18817315,23884442,100,800,800
singleton-values,5,15188443,23305590,100,800,800
singleton-values,6,16541440,23132900,100,800,800
