fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns
natives-values,0,103159061,142539503,1,3251,3251,8297422,45647648,363726,23621173,2793485
natives-values,1,96984807,124053400,1,3251,3251,6536512,32770005,321800,22097054,2409899
natives-values,2,106624491,231414504,1,3251,3251,10686907,75357016,514822,45241966,2853711
natives-values,3,218026373,103852264,1,3251,3251,4695215,25177032,301066,24529847,1387400
natives-values,4,75431686,95127561,1,3251,3251,4427351,23377865,277267,19274345,1262946
natives-values,5,71713009,95976279,1,3251,3251,4485625,24617903,276588,19657989,1425153
natives-values,6,72174204,96638585,1,3251,3251,4346920,23681493,281015,19902720,1279667
singleton-values,0,17583766,23029904,100,800,800,4410863,4099100,44273,3187785,3456360
singleton-values,1,23456435,25511189,100,800,800,4491659,4062431,29009,3549338,5147593
singleton-values,2,18183950,24481138,100,800,800,4471050,5656735,27770,3213991,3133932
singleton-values,3,14655378,21998040,100,800,800,4338785,3822864,28719,3060743,3103592
singleton-values,4,14966828,21371447,100,800,800,4281597,3734513,28573,2965154,3025721
singleton-values,5,14877814,23305238,100,800,800,4279616,4087681,28349,4195949,3331344
singleton-values,6,13197595,22280085,100,800,800,4190589,3859363,27397,2999518,2493831
