fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns
natives-values,0,95300494,135016854,1,3251,3251,7462256,43617713,350655,23429032,1683686
natives-values,1,103297831,115659788,1,3251,3251,6219836,31773117,302928,20648341,1736323
natives-values,2,92889044,188673476,1,3251,3251,8331692,81608802,445020,30803795,1664333
natives-values,3,291893630,103422709,1,3251,3251,4500675,27290405,310384,21352409,1884794
natives-values,4,75649145,110767004,1,3251,3251,4604170,23856373,309608,21597358,2109116
natives-values,5,75227261,98980904,1,3251,3251,4378124,25521938,302015,21267507,1316664
natives-values,6,83945653,104236254,1,3251,3251,4482797,23421359,404832,21628515,1552821
singleton-values,0,19038356,22429771,100,800,800,4559293,3801496,27609,3465317,3266963
singleton-values,1,17895475,23042854,100,800,800,4245048,3923164,29229,3130601,3273920
singleton-values,2,17223465,26479566,100,800,800,4249012,4329719,28691,3660291,3049647
singleton-values,3,24905356,58547326,100,800,800,4252313,19169150,30332,10277218,16396284
singleton-values,4,15065746,22165984,100,800,800,5968603,3712288,28419,2855217,3110598
singleton-values,5,13381251,20540557,100,800,800,4043481,3693193,28401,2925294,2817856
singleton-values,6,15315698,31025228,100,800,800,6603221,6207057,35479,4802530,4586305
