fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,125850753,181021197,1,3251,3251
natives-values,1,129119048,155989445,1,3251,3251
natives-values,2,109899534,106870017,1,3251,3251
natives-values,3,101436700,119175023,1,3251,3251
natives-values,4,81715319,101526265,1,3251,3251
natives-values,5,85605491,100961704,1,3251,3251
natives-values,6,73253326,106494322,1,3251,3251
singleton-values,0,17841578,26487998,100,800,800
singleton-values,1,17359302,22922625,100,800,800
singleton-values,2,16635531,24998554,100,800,800
singleton-values,3,16068976,21824511,100,800,800
singleton-values,4,16235377,21776839,100,800,800
singleton-values,5,21569546,25739961,100,800,800
singleton-values,6,18729936,22833201,100,800,800
