fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications
natives-values,0,115914699,108829801,1,3251,3251
natives-values,1,112635026,133171115,1,3251,3251
natives-values,2,85778522,90266075,1,3251,3251
natives-values,3,72133488,119460647,1,3251,3251
natives-values,4,70925428,83517164,1,3251,3251
natives-values,5,65792843,86219597,1,3251,3251
natives-values,6,62370836,77149341,1,3251,3251
singleton-values,0,15472024,21022244,100,800,800
singleton-values,1,15696582,21725244,100,800,800
singleton-values,2,14255389,24292386,100,800,800
singleton-values,3,14249801,21408146,100,800,800
singleton-values,4,14860882,20784095,100,800,800
singleton-values,5,13844749,21128304,100,800,800
singleton-values,6,13494652,26168995,100,800,800
