fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,pass_prepare_ns,rotator_setup_ns,rule_setup_ns,rotation_ns,callback_ns,validity_ns,solve_sync_ns
natives-values,0,125696315,128270426,1,3251,3251,8369331,30877643,331036,24124187,1745687,6979558,92316675,1872947,22004,472516,87842321,64639056,15164730,12203144
natives-values,1,96224338,121892398,1,3251,3251,6803707,30765558,330029,25556121,1777665,5828323,86673814,1678851,22718,505584,82395390,64369665,14818734,11967779
natives-values,2,95441527,134676908,1,3251,3251,6972922,36613257,351432,24749589,1865518,6104478,94586177,1823149,22826,718235,89807250,69483515,17564412,14123992
natives-values,3,88930868,114584628,1,3251,3251,5379432,30571361,286529,24791501,1830810,4665649,83687270,1581106,24367,421157,79482202,61806576,14914634,12294586
natives-values,4,89192117,104917748,1,3251,3251,4529808,29504785,306918,20175344,1495585,3810614,75193661,1217814,55381,551011,71395461,55359913,13654117,11283805
natives-values,5,83463422,223679755,1,3251,3251,6906118,52293749,447007,28658737,1509594,6076816,116418983,1784382,14041,543646,112209640,89074594,18766083,15064557
natives-values,6,73017980,104406467,1,3251,3251,4791251,24301015,326300,20518575,1107712,4001992,69922191,1096594,12278,418914,66959830,50777900,14048466,11463632
singleton-values,0,17775958,23152086,100,800,800,4530201,3840753,30228,3130617,3363762,4201690,17098046,299321,2913,134546,13178803,11639384,76627,56718
singleton-values,1,21842430,34443746,100,800,800,9595208,4855268,29869,3712758,5975053,8825633,27267903,855360,6239,239061,19957953,18325727,84587,62220
singleton-values,2,20654780,28055010,100,800,800,4475495,6318699,29285,3460382,4193712,4152495,21181584,573114,4866,218931,16048387,14438233,85534,63944
singleton-values,3,18830975,24767292,100,800,800,4469931,4440940,29934,3187812,4055736,4203861,18686432,439073,3736,140217,13840645,12301409,78569,58305
singleton-values,4,15258221,32036575,100,800,800,6852074,5061246,36193,4113451,4906526,6351552,24193376,454566,5848,271674,18371845,16177312,103905,77653
singleton-values,5,21559764,29899953,100,800,800,5564042,5222511,35327,4898626,4798442,5130120,23819032,576199,5528,197837,18038198,15833536,115376,88493
singleton-values,6,16559214,22455675,100,800,800,4257536,4023449,29373,3017032,3068337,3992256,16749460,339602,3045,177787,13039645,11455470,130559,109802
