fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,pass_prepare_ns,rotator_setup_ns,rule_setup_ns,rotation_ns,callback_ns,validity_ns,solve_sync_ns
natives-values,0,88019794,126264632,1,3251,3251,8011802,44985891,329426,23440712,1623171,6817216,90610572,1764320,23355,508372,86363482,77644830,4262680,726916
natives-values,1,82733792,122903703,1,3251,3251,6992901,35346108,340403,24046407,2058458,5970336,79863243,2025634,48334,560508,74792834,67540729,3960719,823047
natives-values,2,85669069,99687592,1,3251,3251,6150216,27399150,270247,21327168,1813630,5383702,66341945,1618861,22565,492036,62099565,55976921,3406021,635887
natives-values,3,101131301,145902227,1,3251,3251,8113891,42127298,425965,33827459,2304802,7066186,99476788,1909969,24737,828186,93983285,85323300,5164898,949336
natives-values,4,117396530,142951111,1,3251,3251,7715992,44286962,454074,33964387,2410979,6691429,101559907,2046685,65490,856776,95504313,87251988,4929611,917573
natives-values,5,78947246,113849154,1,3251,3251,8161874,36928867,351469,29889678,1915087,7300471,88083531,1721555,18727,587198,83443718,76168139,4321081,710515
natives-values,6,101104741,155640169,1,3251,3251,6385887,44220950,511509,31454026,1763347,5655412,96851997,1282132,16417,642634,92781261,83354587,5030601,904070
singleton-values,0,24933934,35716771,100,800,800,7093306,6173628,41187,5250146,5479153,6564793,27594629,462877,5327,225194,21243316,18674125,135086,104096
singleton-values,1,25156205,33554501,100,800,800,6930429,6079488,70132,5211728,5658590,6457756,27470202,510260,4957,290247,20832001,18407382,131228,100926
singleton-values,2,24528799,33790157,100,800,800,7109808,6257188,41950,4936748,3174264,6614444,24971466,480624,5377,245926,20887799,18484141,111974,80979
singleton-values,3,22419189,36192628,100,800,800,7101964,8611720,39132,4883819,4875654,6557711,28893697,450048,5128,212598,23177663,20752884,110003,79796
singleton-values,4,20458554,24315397,100,800,800,4569392,4076821,45683,3469650,3816573,4247494,18311398,356887,3475,189530,13816185,12269768,79712,57420
singleton-values,5,21894138,34223530,100,800,800,6948049,6241974,40349,4871016,4394410,6462356,26033697,481506,7311,246595,20681061,18217806,110512,80761
singleton-values,6,21353673,33979663,100,800,800,6776241,6034037,40659,4986973,4488847,6465225,25778242,472263,5096,307545,20329326,17953743,108151,78119
