fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
natives-values,0,79822004,89699676,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,1,79504664,81896418,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,2,87929916,82384450,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,3,88469944,84159756,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,4,64284268,113555887,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,5,72044514,76578150,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,6,59242960,73969996,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,7,57110681,75740799,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,8,54513664,72432218,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,9,57706724,69712479,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,10,54142504,65162068,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,11,55529089,68839185,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,12,52100619,66002283,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,13,50307583,66451979,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,14,48280160,65097953,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,15,51656337,74673929,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,16,55442720,84579462,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,17,50938368,72981181,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,18,55727052,75408888,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,19,51292873,69875064,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
singleton-values,0,13804800,17714842,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,1,12247743,16085518,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,2,11951715,15864431,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,3,11075317,17869531,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,4,10920657,17280208,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,5,10856132,17090527,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,6,11226180,26064141,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,7,16751810,17900627,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,8,11654284,17727992,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,9,12525965,17105159,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,10,14793845,16724565,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,11,12129698,16563416,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,12,10926596,20900011,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,13,14900223,24200179,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,14,16113329,21813554,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,15,16212666,20841109,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,16,11568948,15734829,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,17,10470661,15736712,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,18,10170166,15712135,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,19,9881658,18351896,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
