fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
natives-values,0,66448450,76922895,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,1,64487303,65973307,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,2,63774979,63855806,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,3,56418569,67882280,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,4,56163983,80135699,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,5,55705118,65456725,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,6,70942013,62902364,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,7,58824208,63046029,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,8,54835217,65084764,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,9,54895723,59857333,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,10,50764945,70583664,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,11,48000327,63458977,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,12,47618311,61800116,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,13,48688998,58234130,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,14,49061784,57935830,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
singleton-values,0,12714530,19453162,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,1,11066240,18938683,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,2,11321724,16880724,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,3,11428119,19860768,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,4,14121689,17611543,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,5,11055637,16721448,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,6,10338711,16863496,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,7,11180665,16739471,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,8,11844705,17075232,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,9,10894086,16929928,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,10,12125257,17142628,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,11,11151389,19497613,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,12,10430435,17343332,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,13,9796101,16853596,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,14,9996929,16224241,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
