THREAD_STACK_OBSERVATIONS 323
243 RUNNABLE org.kanger.Mind.query
172 RUNNABLE org.kanger.test.KangerTest.set_08_02
172 RUNNABLE org.kanger.test.Set0802ProfileRunner.main
170 RUNNABLE org.kanger.Mind.queryCheckTrue
152 RUNNABLE org.kanger.Linker.link
152 RUNNABLE org.kanger.Mind.link
149 RUNNABLE org.kanger.Linker.rotator
119 RUNNABLE org.kanger.Linker.rotateVariables
109 RUNNABLE org.kanger.Linker$3.run
75 RUNNABLE java.lang.Thread.run
74 RUNNABLE org.kanger.factory.TValueFactory.experimentalForEachSelected
73 RUNNABLE org.kanger.Linker$4.run
73 RUNNABLE org.kanger.Linker.access$8
73 RUNNABLE org.kanger.Mind.queryAccept
58 RUNNABLE org.kanger.Linker.access$3
58 RUNNABLE org.kanger.Linker.linkDatabase
50 RUNNABLE org.kanger.Mind.compileLine
49 RUNNABLE org.kanger.units.CachedDomain.getCauses
44 BLOCKED java.lang.Thread.run
44 BLOCKED org.kanger.Mind.query
44 BLOCKED org.kanger.Mind.queryAccept
41 RUNNABLE org.kanger.compiler.Compiller.compileLine
35 RUNNABLE java.util.HashMap.put
34 RUNNABLE java.util.AbstractCollection.addAll
32 RUNNABLE org.kanger.Linker.access$1
32 RUNNABLE org.kanger.Linker.selectDomainCandidates
32 RUNNABLE org.kanger.factory.DictionaryFactory.add
32 RUNNABLE org.kanger.factory.RuleFactory.findByResolvedDomain
31 RUNNABLE java.util.HashSet.add
31 RUNNABLE org.kanger.Analyzer.analyze
31 RUNNABLE org.kanger.Mind.analyze
31 WAITING java.util.concurrent.CountDownLatch.await
31 WAITING java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire
31 WAITING java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly
31 WAITING java.util.concurrent.locks.LockSupport.park
31 WAITING jdk.internal.misc.Unsafe.park
31 WAITING org.kanger.test.KangerTest.set_08_02
31 WAITING org.kanger.test.Set0802ProfileRunner.main
29 RUNNABLE org.kanger.Linker.updateDatabase
28 RUNNABLE org.kanger.factory.RuleCandidateIndex.collectResolvedLocal
28 RUNNABLE org.kanger.factory.RuleFactory.collectResolvedCandidateIds
27 BLOCKED org.kanger.Mind.compileLine
26 BLOCKED org.kanger.compiler.Compiller.compileLine
26 RUNNABLE org.kanger.Linker.logCauses
25 RUNNABLE java.util.HashMap.putVal
23 RUNNABLE org.kanger.Analyzer.checkDatabase
23 RUNNABLE org.kanger.test.KangerTest$6.run
21 RUNNABLE org.kanger.units.Term.<init>
21 RUNNABLE org.kanger.units.Term.construct
20 RUNNABLE org.kanger.Analyzer.checkRight
20 RUNNABLE org.kanger.test.KangerTest$7.run
19 BLOCKED org.kanger.factory.DictionaryFactory.add
19 RUNNABLE org.kanger.Linker.access$2
19 RUNNABLE org.kanger.Linker.linkDomains
19 RUNNABLE org.kanger.compiler.Compiller.compilePredicate
19 RUNNABLE org.kanger.compiler.Compiller.construct
19 RUNNABLE org.kanger.enums.Tools.parseDate
18 RUNNABLE java.util.LinkedHashSet.<init>
18 RUNNABLE org.kanger.test.KangerTest$5.run
17 BLOCKED org.kanger.test.KangerTest$4.run
17 RUNNABLE org.kanger.primitives.ArgumentsList.equalsBase
17 RUNNABLE org.kanger.units.Domain.isExcluded
16 RUNNABLE org.kanger.factory.RuleCandidateIndex$IdIndex.get
16 RUNNABLE org.kanger.storage.Step.getData
16 RUNNABLE org.kanger.units.CachedDomain.setCauses
16 RUNNABLE org.kanger.units.Domain.setCauses
15 BLOCKED org.kanger.factory.DictionaryFactory.getVarIndex
15 BLOCKED org.kanger.factory.RuleFactory.register
14 RUNNABLE java.util.HashMap.hash
14 RUNNABLE org.kanger.factory.DictionaryFactory.find
14 RUNNABLE org.kanger.test.KangerTest$4.run
14 RUNNABLE org.kanger.units.Domain.getOverlaps
13 BLOCKED org.kanger.test.KangerTest$5.run
13 RUNNABLE java.lang.ThreadLocal$ThreadLocalMap.getEntry
13 RUNNABLE java.lang.ThreadLocal$ThreadLocalMap.getEntryAfterMiss
13 RUNNABLE java.lang.ThreadLocal.get
13 RUNNABLE org.kanger.units.TVariable.activeMind
12 BLOCKED org.kanger.Mind.convertExternals
12 RUNNABLE org.kanger.primitives.Argument.getValue
11 RUNNABLE org.kanger.Analyzer.candidatesFor
11 RUNNABLE org.kanger.factory.RuleFactory.findByDomain
11 RUNNABLE org.kanger.units.Rule.setMind
11 RUNNABLE org.kanger.units.TVariable.getValue
10 RUNNABLE java.text.DateFormat.parse
10 RUNNABLE org.kanger.Mind.commit
10 RUNNABLE org.kanger.compiler.Compiller.parseArgs
10 RUNNABLE org.kanger.storage.Escalera.get
10 RUNNABLE org.kanger.units.CachedDomain.setMind
10 RUNNABLE org.kanger.units.Domain.setMind
9 RUNNABLE java.lang.Exception.<init>
9 RUNNABLE java.lang.Throwable.<init>
9 RUNNABLE java.lang.Throwable.fillInStackTrace
9 RUNNABLE java.text.ParseException.<init>
9 RUNNABLE org.kanger.primitives.ArgumentsList.getTVariables
8 BLOCKED org.kanger.test.KangerTest$7.run
8 RUNNABLE java.lang.String.valueOf
8 RUNNABLE org.kanger.Linker$5.run
8 RUNNABLE org.kanger.Linker.access$4
8 RUNNABLE org.kanger.Mind.addTSolve
8 RUNNABLE org.kanger.Mind.findTSolve
8 RUNNABLE org.kanger.Mind.isUnitDeleted
8 RUNNABLE org.kanger.TechnicalMindTransaction.commit
8 RUNNABLE org.kanger.factory.RuleFactory$1.next
8 RUNNABLE org.kanger.factory.RuleFactory.get
8 RUNNABLE org.kanger.factory.RuleFactory.getRaw
8 RUNNABLE org.kanger.primitives.Argument.isEmpty
8 RUNNABLE org.kanger.units.Domain.toString
7 RUNNABLE java.lang.StringBuilder.append
7 RUNNABLE java.text.SimpleDateFormat.<init>
7 RUNNABLE java.util.AbstractSet.removeAll
7 RUNNABLE java.util.ArrayList.contains
7 RUNNABLE java.util.ArrayList.indexOf
7 RUNNABLE java.util.ArrayList.indexOfRange
7 RUNNABLE java.util.HashMap$HashIterator.nextNode
7 RUNNABLE java.util.HashMap$KeyIterator.next
7 RUNNABLE org.kanger.Linker.rotationAllowed
7 RUNNABLE org.kanger.factory.DictionaryFactory.getVarIndex
7 RUNNABLE org.kanger.factory.RuleFactory.register
7 RUNNABLE org.kanger.primitives.Cause.hashCode
7 RUNNABLE org.kanger.primitives.Solve.hashCode
7 RUNNABLE org.kanger.stores.LogStore.add
6 BLOCKED org.kanger.test.KangerTest$6.run
6 RUNNABLE java.util.HashMap.remove
6 RUNNABLE java.util.HashMap.resize
6 RUNNABLE org.kanger.Linker.markExcluded
6 RUNNABLE org.kanger.factory.RuleFactory.access$1
6 RUNNABLE org.kanger.factory.RuleFactory.effectiveView
6 RUNNABLE org.kanger.factory.RuleFactory.find
6 RUNNABLE org.kanger.factory.RuleFactory.isPromoted
6 RUNNABLE org.kanger.storage.Escalera$WalkIterator.next
6 RUNNABLE org.kanger.storage.Escalera.find
6 RUNNABLE org.kanger.units.Rule.isDeleted
6 RUNNABLE org.kanger.units.TSolve.equalsTo
5 RUNNABLE java.util.HashSet.remove
5 RUNNABLE org.kanger.factory.DomainFactory.commit
5 RUNNABLE org.kanger.factory.RuleFactory.collectDomainIds
5 RUNNABLE org.kanger.storage.Escalera.ensureIndex
5 RUNNABLE org.kanger.units.Domain.equalsBase
5 RUNNABLE org.kanger.units.Domain.setExcluded
4 BLOCKED org.kanger.compiler.Compiller.compilePredicate
4 BLOCKED org.kanger.compiler.Compiller.construct
4 BLOCKED org.kanger.compiler.Compiller.parseArgs
4 RUNNABLE java.util.HashMap.getNode
4 RUNNABLE org.kanger.Linker.synchronizeSolveIndex
4 RUNNABLE org.kanger.Mind.convertExternals
4 RUNNABLE org.kanger.storage.Escalera.indexStep
4 RUNNABLE org.kanger.units.Domain.isStored
4 RUNNABLE sun.util.locale.provider.LocaleResources.getDateTimePattern
3 BLOCKED org.kanger.Mind.commit
3 BLOCKED org.kanger.Mind.isUnitDeleted
3 BLOCKED org.kanger.TechnicalMindTransaction.commit
3 RUNNABLE java.lang.String.replaceAll
3 RUNNABLE java.util.AbstractCollection.retainAll
3 RUNNABLE java.util.Arrays.copyOf
3 RUNNABLE java.util.concurrent.CopyOnWriteArrayList.add
3 RUNNABLE java.util.regex.Pattern.<init>
3 RUNNABLE java.util.regex.Pattern.compile
3 RUNNABLE org.kanger.factory.DomainFactory.add
3 RUNNABLE org.kanger.factory.DomainFactory.find
3 RUNNABLE org.kanger.factory.RuleFactory.add
3 RUNNABLE org.kanger.units.Rule.getTree
2 BLOCKED java.util.HashMap.put
2 BLOCKED java.util.HashSet.add
2 BLOCKED org.kanger.factory.DictionaryFactory.find
2 BLOCKED org.kanger.factory.RuleFactory.commit
2 BLOCKED org.kanger.storage.Escalera.find
2 BLOCKED org.kanger.units.Rule.isDeleted
2 RUNNABLE java.lang.String.format
2 RUNNABLE java.util.Formatter.format
2 RUNNABLE java.util.HashMap$HashIterator.<init>
2 RUNNABLE java.util.HashMap$KeyIterator.<init>
2 RUNNABLE java.util.HashMap$KeySet.iterator
2 RUNNABLE java.util.HashMap.containsKey
2 RUNNABLE java.util.HashMap.get
2 RUNNABLE java.util.HashSet.<init>
2 RUNNABLE java.util.HashSet.contains
2 RUNNABLE java.util.HashSet.iterator
2 RUNNABLE java.util.regex.Pattern.atom
2 RUNNABLE java.util.regex.Pattern.expr
2 RUNNABLE java.util.regex.Pattern.sequence
2 RUNNABLE java.util.regex.Pattern.single
2 RUNNABLE org.kanger.Mind.formatTree
2 RUNNABLE org.kanger.Mind.logResult
2 RUNNABLE org.kanger.factory.RuleFactory.commit
2 RUNNABLE org.kanger.factory.RuleFactory.containsPromotion
2 RUNNABLE org.kanger.factory.TValueFactory.get
2 RUNNABLE org.kanger.primitives.Argument.isDeleted
2 RUNNABLE org.kanger.units.Rule.equalsTo
2 RUNNABLE org.kanger.units.TSolve.<init>
2 RUNNABLE org.kanger.units.TVariable.getCurrent
2 RUNNABLE org.kanger.units.TVariable.isDeleted
1 BLOCKED java.lang.Exception.<init>
1 BLOCKED java.lang.Throwable.<init>
1 BLOCKED java.lang.Throwable.fillInStackTrace
1 BLOCKED java.text.DateFormat.parse
1 BLOCKED java.text.ParseException.<init>
1 BLOCKED java.util.AbstractCollection.addAll
1 BLOCKED java.util.HashMap.hash
1 BLOCKED java.util.HashMap.putVal
1 BLOCKED java.util.HashSet.<init>
1 BLOCKED org.kanger.Analyzer.analyze
1 BLOCKED org.kanger.Linker.link
1 BLOCKED org.kanger.Mind.<init>
1 BLOCKED org.kanger.Mind.analyze
1 BLOCKED org.kanger.Mind.init
1 BLOCKED org.kanger.Mind.link
1 BLOCKED org.kanger.PortableMindLayer.capture
1 BLOCKED org.kanger.TechnicalMindTransaction.<init>
1 BLOCKED org.kanger.TechnicalMindTransaction.begin
1 BLOCKED org.kanger.compiler.Compiller.isFunction
1 BLOCKED org.kanger.enums.Tools.parseDate
1 BLOCKED org.kanger.factory.RuleFactory.expand
1 BLOCKED org.kanger.factory.RuleFactory.find
1 BLOCKED org.kanger.factory.RuleFactory.store
1 BLOCKED org.kanger.factory.TVariableFactory.<init>
1 BLOCKED org.kanger.factory.TVariableFactory.transaction
1 BLOCKED org.kanger.storage.Escalera$WalkIterator.next
1 BLOCKED org.kanger.storage.Escalera.ensureIndex
1 BLOCKED org.kanger.storage.Escalera.indexStep
1 BLOCKED org.kanger.storage.Step.getData
1 BLOCKED org.kanger.stores.LogStore.add
1 BLOCKED org.kanger.units.Domain.setStored
1 BLOCKED org.kanger.units.Rule.setMind
1 BLOCKED org.kanger.units.Term.<init>
1 BLOCKED org.kanger.units.Term.construct
